name,zip_code,email
COULGENS,16560,mairie@coulgens.fr
COULONGES,16330,mairie.coulonges@wanadoo.fr
COURBILLAC,16200,communedecourbillac@orange.fr
COURCOME,16240,mairiedecourcome@wanadoo.fr
COURGEAC,16190,mairie.courgeac@wanadoo.fr
COURLAC,16210,mairiedecourlac@wanadoo.fr
COUTURE,16460,mairie.couture16@wanadoo.fr
CRESSAC-SAINT-GENIS,16250,mairie.cressacsaintgenis@wanadoo.fr
CRITEUIL-LA-MAGDELEINE,16300,mairie.criteuil-la-magdeleine@wanadoo.fr
CURAC,16210,mairie.curac@wanadoo.fr
DEVIAT,16190,mairie.deviat@wanadoo.fr
DIGNAC,16410,mairie.dignac@wanadoo.fr
DIRAC,16410, mairie@mairie-dirac.fr
DOUZAT,16290,mairiedouzat@wanadoo.fr
EBREON,16140,mairieebreon@wanadoo.fr
ECHALLAT,16170,mairie.echallat@wanadoo.fr
ECURAS,16220,mairie.ecuras@wanadoo.fr
EDON,16320,mairie.edon@wanadoo.fr
EMPURE,16240,mairie-empure@wanadoo.fr
EPENEDE,16490,mairie-epenede@wanadoo.fr
ERAVILLE,16120,mairie.eraville@wanadoo.fr
ESSE,16500,mairie-esse@wanadoo.fr
ETAGNAC,16150,mairie.etagnac@orange.fr
ETRIAC,16250,mairie.etriac@wanadoo.fr
EXIDEUIL,16150,communedexideuil@wanadoo.fr
EYMOUTHIERS,16220,mairie.eymouthiers@wanadoo.fr
FEUILLADE,16380,mairie.feuillade16@wanadoo.fr
FLEAC,16730,mairiefleac@wanadoo.fr
FLEURAC,16200,mairiedefleurac@orange.fr
FONTCLAIREAU,16230,mairie.fontclaireau@wanadoo.fr
FONTENILLE,16230,mairie.fontenille@wanadoo.fr
FOUQUEBRUNE,16410,fouquebrune@wanadoo.fr
FOUQUEURE,16140,mairie-de-fouqueure@wanadoo.fr
FOUSSIGNAC,16200,commune-de-foussignac@wanadoo.fr
GARAT,16410,mairie.garat@wanadoo.fr
GARDES-LE-PONTAROUX,16320,gardeslepontaroux@wanadoo.fr
GENAC,16170,mairie-genac@orange.fr
GENOUILLAC,16270,mairiegenouillac@wanadoo.fr
GENSAC-LA-PALLUE,16130,gensac.mairie@wanadoo.fr
GENTE,16130,mairiedegente@wanadoo.fr
GIMEUX,16130,mairie.gimeux@wanadoo.fr
GONDEVILLE,16200,mairiedegondeville@wanadoo.fr
GOND-PONTOUVRE,16160,ville-gondpontouvre@wanadoo.fr
GOURVILLE,16170,mairie_gourville@yahoo.fr
GRASSAC,16380,cne.grassac@wanadoo.fr
GRAVES-SAINT-AMANT,16120,mairie.gravesstamant@wanadoo.fr
GUIMPS,16300,mairiedeguimps@wanadoo.fr
GUIZENGEARD,16480,mairie.guizengeard@wanadoo.fr
GURAT,16320,mairie-de-gurat@wanadoo.fr
HIERSAC,16290,mairie.hiersac@wanadoo.fr
HIESSE,16490,mairie-hiesse@wanadoo.fr
HOULETTE,16200,commune.houlette@wanadoo.fr
JARNAC,16200,mairie@ville-de-jarnac.fr
JAULDES,16560,mairie.jauldes@wanadoo.fr
JAVREZAC,16100,mairie.javrezac@wanadoo.fr
JUIGNAC,16190,mairie.juignac@wanadoo.fr
JUILLAC-LE-COQ,16130,mairiedejuillaclecoq@wanadoo.fr
JUILLAGUET,16320,mairie.juillaguet@orange.fr
JUILLE,16230,mairie.juille@orange.fr
JULIENNE,16200,mairie-de-julienne@wanadoo.fr
JURIGNAC,16250,mairie.jurignac@wanadoo.fr
LACHAISE,16300,mairie.lachaise@wanadoo.fr
LA-CHAPELLE,16140,mairie.la.chapelle@wanadoo.fr
LA-CHEVRERIE,16240,mairie.chevrerie@wanadoo.fr
LA-COURONNE,16400,mairie@mairie-lacouronne.fr
LADIVILLE,16120,mairie.ladiville@wanadoo.fr
LA-FAYE,16700,communelafaye@orange.fr
LA-FORET-DE-TESSE,16240,la-foret-de-tesse@wanadoo.fr
LAGARDE-SUR-LE-NE,16300,mairie.lagarde-slene@wanadoo.fr
LA-MAGDELEINE,16240,mairielamagdeleine@wanadoo.fr
LAMERAC,16300,mairie-lamerac@wanadoo.fr
LA-PERUSE,16270,mairie.laperuse@wanadoo.fr
LAPRADE,16390,mairie.laprade@wanadoo.fr
LA-ROCHEFOUCAULD,16110,ville.larochefoucauld@wanadoo.fr
LA-ROCHETTE,16110,mairie-larochette16@wanadoo.fr
LA-TACHE,16260,mairiedelatache@wanadoo.fr
LE-BOUCHAGE,16350,mairie-lebouchage@wanadoo.fr
LE-GRAND-MADIEU,16450,grand.madieu@wanadoo.fr
LE-LINDOIS,16310,le-lindois.cne@wanadoo.fr
LES-ADJOTS,16700,mairielesadjots@wanadoo.fr
LES-ESSARDS,16210, les.essards@mairie17.com
LES-GOURS,16140,""
LESIGNAC-DURAND,16310,mairie.lesignac@wanadoo.fr
LES-METAIRIES,16200,mairie.lesmetairies@wanadoo.fr
LES-PINS,16260,lespinsmairie@wanadoo.fr
LESSAC,16500,communelessac@wanadoo.fr
LESTERPS,16420,mairie.lesterps@wanadoo.fr
LE-TATRE,16360,commune-de-le-tatre@orange.fr
LE-VIEUX-CERIER,16350,mairie-vxcerier@wanadoo.fr
LICHERES,16460,mairie.licheres@wanadoo.fr
LIGNE,16140,mairie.ligne@wanadoo.fr
LIGNIERES-SONNEVILLE,16130,mairie-lignieres-sonneville@wanadoo.fr
LINARS,16730,mairie-linars@wanadoo.fr
L'ISLE-D'ESPAGNAC,16340,mairie@mairie-lisledespagnac.fr
LONDIGNY,16700,mairie.londigny@orange.fr
LONGRE,16240,mairie.longre@wanadoo.fr
LONNES,16230,mairie.lonnes@nordcharentewireless.com
LOUZAC-SAINT-ANDRE,16100,mairie.louzacstandre@wanadoo.fr
LUPSAULT,16140,mairie-lupsault@wanadoo.fr
LUSSAC,16450,communedelussac@wanadoo.fr
LUXE,16230,mairie.luxe@wanadoo.fr
MAGNAC-LAVALETTE-VILLARS,16320,mairie.magnaclavalette@wanadoo.fr
MAGNAC-SUR-TOUVRE,16600,mairie@magnacsurtouvre.fr
MAINE-DE-BOIXE,16230,mairie.mainedeboixe@wanadoo.fr
MAINFONDS,16250,mairie.de.mainfonds@wanadoo.fr
MAINXE,16200,mairie.mainxe@orange.fr
MAINZAC,16380,mairie.mainzac@wanadoo.fr
MALAVILLE,16120,mairie.malaville@wanadoo.fr
MANOT,16500,mairie-de-manot.manot@wanadoo.fr
MANSLE,16230,mairie.mansle@wanadoo.fr
MARCILLAC-LANVILLE,16140,marcillac.lanville@wanadoo.fr
MAREUIL,16170,mareuilcharente@wanadoo.fr
MARILLAC-LE-FRANC,16110,mairie-marillaclefranc@wanadoo.fr
MARSAC,16570,mairie@marsac.fr
MARTHON,16380,mairie-de-marthon@wanadoo.fr
MASSIGNAC,16310,mairie.massignac@wanadoo.fr
MAZEROLLES,16310,commune-de-mazerolles@wanadoo.fr
MAZIERES,16270,mazieres.mairie@wanadoo.fr
MEDILLAC,16210,medillac.mairie@wanadoo.fr
MERIGNAC,16200,communedemerignac@orange.fr
MERPINS,16100,mairie.merpins@wanadoo.fr
MESNAC,16370,commune.mesnac@wanadoo.fr
MONS,16140,mairie-mons@wanadoo.fr
MONTBOYER,16620,montboyer.mairie@wanadoo.fr
MONTBRON,16220,mairie.montbron@wanadoo.fr
MONTCHAUDE,16300,mairie-montchaude@wanadoo.fr
MONTEMBOEUF,16310,mairie.montemboeuf@wanadoo.fr
MONTIGNAC-CHARENTE,16330,mairie.montignac-chte@orange.fr
MONTIGNAC-LE-COQ,16390,communemontignaclecoq@wanadoo.fr
MONTIGNE,16170,mairie.montigne@wanadoo.fr
MONTJEAN,16240,mairiemontjean@wanadoo.fr
MONTMOREAU-SAINT-CYBARD,16190,mairie.montmoreaustcybard@wanadoo.fr
MONTROLLET,16420,mairie.montrollet@wanadoo.fr
MORNAC,16600,commune-de-mornac@wanadoo.fr
MOSNAC,16120,mairie.mosnac@wanadoo.fr
MOULIDARS,16290,communemoulidars@wanadoo.fr
MOUTHIERS-SUR-BOEME,16440,mairie.mouthiers@wanadoo.fr
MOUTON,16460,mairie.mouton@wanadoo.fr
MOUTONNEAU,16460,mairie.moutonneau@wanadoo.fr
MOUZON,16310,mouzon.mairie@wanadoo.fr
NABINAUD,16390,mairie.nabinaud@wanadoo.fr
NANCLARS,16230,mairie.nanclars@wanadoo.fr
NANTEUIL-EN-VALLEE,16700,nanteuil-en-vallee.mairie@wanadoo.fr
NERCILLAC,16200,mairie-nercillac@wanadoo.fr
NERSAC,16440,mairie.nersac@wanadoo.fr
NIEUIL,16270,mairiedenieuil@orange.fr
NONAC,16190,mairie.nonac@wanadoo.fr
NONAVILLE,16120,nonaville16@wanadoo.fr
ORADOUR,16140,mairie-oradour@wanadoo.fr
ORADOUR-FANAIS,16500,mairie-oradourfanais@wanadoo.fr
ORGEDEUIL,16220,mairie-dorgedeuil@wanadoo.fr
ORIOLLES,16480,mairie.oriolles@wanadoo.fr
ORIVAL,16210,mairie.orival@wanadoo.fr
PAIZAY-NAUDOUIN-EMBOURIE,16240,mairie.paizay-naudouin@wanadoo.fr
PALLUAUD,16390,""
PARZAC,16450,communedeparzac@orange.fr
PASSIRAC,16480,commune.passirac@wanadoo.fr
PEREUIL,16250,mairiepereuil@wanadoo.fr
PERIGNAC,16250,mairie-perignac@wanadoo.fr
PILLAC,16390,communedepillac@wanadoo.fr
PLAIZAC,16170,communeplaizac@orange.fr
PLASSAC-ROUFFIAC,16250,mairie.plassac@wanadoo.fr
PLEUVILLE,16490,mairie-pleuville@wanadoo.fr
POULLIGNAC,16190,mairie.poullignac@wanadoo.fr
POURSAC,16700,communedepoursac@wanadoo.fr
PRANZAC,16110,mairie.pranzac@wanadoo.fr
PRESSIGNAC,16150,mairie.pressignac@wanadoo.fr
PUYMOYEN,16400,contact@puymoyen.fr
PUYREAUX,16230,mairie.puyreaux@orange.fr
RAIX,16240,mairiederaix@wanadoo.fr
RANCOGNE,16110,mairie.rancogne@wanadoo.fr
RANVILLE-BREUILLAUD,16140,mairie.ranville.breuillaud@wanadoo.fr
REIGNAC,16360,mairiereignac@wanadoo.fr
REPARSAC,16200,reparsac.mairie@wanadoo.fr
RIOUX-MARTIN,16210,rioux-martin@orange.fr
RIVIERES,16110,mairie.rivieres@wanadoo.fr
RONSENAC,16320,commune.ronsenac@wanadoo.fr
ROUFFIAC,16210,""
ROUGNAC,16320,commune.rougnac@wanadoo.fr
ROUILLAC,16170,Mairie@ville-rouillac.fr
ROULLET-SAINT-ESTEPHE,16440,infos@roulletstestephe.fr
ROUMAZIERES-LOUBERT,16270,mairie@mairie-roumazieres-loubert.com
ROUSSINES,16310,mairiederoussines@wanadoo.fr
ROUZEDE,16220,mairiederouzede@wanadoo.fr
RUELLE-SUR-TOUVRE,16600,mairie@ville-ruellesurtouvre.fr
RUFFEC,16700,direction.generale@mairie-ruffec.fr
SAINT-ADJUTORY,16310,mairie.stadjutory@wanadoo.fr
SAINT-AMANT-DE-BOIXE,16330,mairie.stamboixe@wanadoo.fr
SAINT-AMANT-DE-BONNIEURE,16230,mairiefaure@wanadoo.fr
SAINT-AMANT-DE-NOUERE,16170,mairie.stamantdenouere@orange.fr
SAINT-ANGEAU,16230,mairie.saint.angeau@wanadoo.fr
SAINT-AULAIS-LA-CHAPELLE,16300,mairie.saintaulais@wanadoo.fr
SAINT-AVIT,16210,stavit.mairie@wanadoo.fr
SAINT-BONNET,16300,mairie.saint-bonnet@wanadoo.fr
SAINT-BRICE,16100,mairie.saintbrice.16@wanadoo.fr
SAINT-CHRISTOPHE,16420,mairie-stchristophe@wanadoo.fr
SAINT-CIERS-SUR-BONNIEURE,16230,mairie-saint-ciers@wanadoo.fr
SAINT-CLAUD,16450,mairie.saint.claud@cegetel.net
SAINT-COUTANT,16350,mairie-st.coutant@wanadoo.fr
SAINT-CYBARDEAUX,16170,mairie.stcybardeaux@wanadoo.fr
SAINTE-COLOMBE,16230,mairie.sainte-colombe@wanadoo.fr
SAINTE-SEVERE,16200,mairie-ste-severe@wanadoo.fr
SAINTE-SOULINE,16480,commune.sainte-souline@wanadoo.fr
SAINT-EUTROPE,16190,mairie.sainteutrope@wanadoo.fr
SAINT-FELIX,16480,st-felix.mairie@orange.fr
SAINT-FORT-SUR-LE-NE,16130,mairie.st-fort@wanadoo.fr
SAINT-FRAIGNE,16140,mairie-saint-fraigne@wanadoo.fr
SAINT-FRONT,16460,mairie.saintfront@wanadoo.fr
SAINT-GENIS-D'HIERSAC,16570,mairie-stgenis-hiersac@wanadoo.fr
SAINT-GEORGES,16700,communedestgeorges@wanadoo.fr
SAINT-GERMAIN-DE-CONFOLENS,16500,""
SAINT-GERMAIN-DE-MONTBRON,16380,mairie.st-germain@wanadoo.fr
SAINT-GOURSON,16700,mairie.stgourson@wanadoo.fr
SAINT-GROUX,16230,mairie.saintgroux@wanadoo.fr
SAINT-LAURENT-DE-BELZAGOT,16190,mairiestlaurentdebelzagot@wanadoo.fr
SAINT-LAURENT-DE-CERIS,16450,mairiestlaurentdeceris@wanadoo.fr
SAINT-LAURENT-DE-COGNAC,16100,mairie-saint-laurent-de-cognac@wanadoo.fr
SAINT-LAURENT-DES-COMBES,16480,mairie-de-st-laurent-des-combes@wanadoo.fr
SAINT-LEGER,16250,mairie.saintleger16@wanadoo.fr
SAINT-MARTIAL,16190,mairie.saintmartial@wanadoo.fr
SAINT-MARTIN-DU-CLOCHER,16700,mairie.stmartinduclocher@orange.fr
SAINT-MARY,16260,saint-mary@wanadoo.fr
SAINT-MAURICE-DES-LIONS,16500,mairiestmaurice@wanadoo.fr
SAINT-MEDARD-DE-BARBEZIEUX,16300,mairie-st-medard-de-bzx@wanadoo.fr
SAINT-MEME-LES-CARRIERES,16720,mairie.st.meme.les.carrieres@wanadoo.fr
SAINT-MICHEL,16470,mairie.saint.michel@wanadoo.fr
SAINT-PALAIS-DU-NE,16300,mairie-saint-palais@wanadoo.fr
SAINT-PREUIL,16130,mairie.saint-preuil@wanadoo.fr
SAINT-PROJET-SAINT-CONSTANT,16110,mairiest-projet-st-constant@wanadoo.fr
SAINT-QUENTIN-DE-CHALAIS,16210,commune.st-quentin-de-chalais@wanadoo.fr
SAINT-QUENTIN-SUR-CHARENTE,16150,st-quentin-sur-charente.cne@wanadoo.fr
SAINT-ROMAIN,16210,mairie.stromain@wanadoo.fr
SAINT-SATURNIN,16290,mairie.saint-saturnin@wanadoo.fr
SAINT-SEVERIN,16390,mairie-st.severin@wanadoo.fr
SAINT-SIMEUX,16120,mairie.saint-simeux@wanadoo.fr
SAINT-SIMON,16120,mairiestsimon2@wanadoo.fr
SAINT-SORNIN,16220,mairie.stsornin@wanadoo.fr
SAINT-SULPICE-DE-COGNAC,16370,mairie.stsulpicedecognac@wanadoo.fr
SAINT-SULPICE-DE-RUFFEC,16460,stsulpicederuffec@wanadoo.fr
SAINT-VALLIER,16480,mairie-saint-vallier@wanadoo.fr
SAINT-YRIEIX-SUR-CHARENTE,16710,contact@saintyrieix-16.fr
SALLES-D'ANGLES,16130,mairie.sallesdangles@orange.fr
SALLES-DE-BARBEZIEUX,16300,salles.de.barbezieux@wanadoo.fr
SALLES-DE-VILLEFAGNAN,16700,mairie.salles-de-villefagnan@wanadoo.fr
SALLES-LAVALETTE,16190,mairie.salleslavalette@wanadoo.fr
SAULGOND,16420,mairiesaulgond@wanadoo.fr
SAUVAGNAC,16310,communedesauvagnac@orange.fr
SAUVIGNAC,16480,mairie-sauvignac@nordnet.fr
SEGONZAC,16130,mairie.segonzac@wanadoo.fr
SERS,16410,mairie.sers16@wanadoo.fr
SIGOGNE,16200,mairie.sigogne@wanadoo.fr
SIREUIL,16440,mairie.sireuil@wanadoo.fr
SONNEVILLE,16170,mairie.sonneville@wanadoo.fr
SOUFFRIGNAC,16380,souffrignac.mairie@orange.fr
SOUVIGNE,16240,commune.souvigne@wanadoo.fr
SOYAUX,16800,mairie@mairie-soyaux.fr
SUAUX,16260,mairie.suaux@wanadoo.fr
SURIS,16270,cne.suris@libertysurf.fr
TAIZE-AIZIE,16700,mairie-taize.aizie@wanadoo.fr
TAPONNAT-FLEURIGNAC,16110,mairie.tpt@wanadoo.fr
THEIL-RABIER,16240,communeletheilrabier@wanadoo.fr
TORSAC,16410,mairietorsac@wanadoo.fr
TOURRIERS,16560,mairie.tourriers@wanadoo.fr
TOUVERAC,16360,mairie-touverac@wanadoo.fr
TOUVRE,16600,touvre@wanadoo.fr
TOUZAC,16120,mairie-touzac16@orange.fr
TRIAC-LAUTRAIT,16200,mairie.triaclautrait@wanadoo.fr
TROIS-PALIS,16730,mairie.troispalis@wanadoo.fr
TURGON,16350,mairie-turgon@wanadoo.fr
TUSSON,16140,mairie.tusson@wanadoo.fr
TUZIE,16700,mairie.tuzie@wanadoo.fr
VALENCE,16460,valence.mairie@wanadoo.fr
VARS,16330,mairie.vars16@wanadoo.fr
VAUX-LAVALETTE,16320,mairiedevauxlavalette@wanadoo.fr
VAUX-ROUILLAC,16170,mairie-vaux@wanadoo.fr
VENTOUSE,16460,mairie.ventouse@wanadoo.fr
VERDILLE,16140,mairie.verdille@wanadoo.fr
VERNEUIL,16310,mairieverneuil@orange.fr
VERRIERES,16130,mairie-verrieres-gc@wanadoo.fr
VERTEUIL-SUR-CHARENTE,16510,mairie.verteuilsurcharente@wanadoo.fr
VERVANT,16330,mairie-vervant@wanadoo.fr
VIBRAC,16120,vibrac.mairie@wanadoo.fr
VIEUX-RUFFEC,16350,mairie-vxruffec@wanadoo.fr
VIGNOLLES,16300,mairie.vignolles@wanadoo.fr
VILHONNEUR,16220,vilhonneurcitedelapierre@wanadoo.fr
VILLEBOIS-LAVALETTE,16320, contact@villebois-lavalette.com
VILLEFAGNAN,16240,mairie-villefagnan@wanadoo.fr
VILLEGATS,16700,mairie.villegats@wanadoo.fr
VILLEJESUS,16140,mairie.villejesus@wanadoo.fr
VILLEJOUBERT,16560,mairie.villejoubert@wanadoo.fr
VILLIERS-LE-ROUX,16240,mairie.villiersleroux@wanadoo.fr
VILLOGNON,16230,mairie.villognon@wanadoo.fr
VINDELLE,16430,mairie@vindelle.fr
VITRAC-SAINT-VINCENT,16310,mairievitracstvincent@wanadoo.fr
VIVILLE,16120,mairie.viville@wanadoo.fr
VOEUIL-ET-GIGET,16400,mairie.voeuil@wanadoo.fr
VOUHARTE,16330,mairie-vouharte@orange.fr
VOULGEZAC,16250,commune-de-voulgezac@wanadoo.fr
VOUTHON,16220,mairiedevouthon@wanadoo.fr
VOUZAN,16410,mairie.vouzan@wanadoo.fr
XAMBES,16330,mairie.xambes@wanadoo.fr
YVIERS,16210,mairie-yviers@wanadoo.fr
YVRAC-ET-MALLEYRAND,16110,mairie.yvracetmalleyrand@wanadoo.fr
AGUDELLE,17500,agudelle@mairie17.com
AIGREFEUILLE-D'AUNIS,17290,mairie-aigrefeuille@mairie-aigrefeuille.fr
ALLAS-BOCAGE,17150,mairie-allas-bocage@orange.fr
ALLAS-CHAMPAGNE,17500,allas-champagne@mairie17.com
ANAIS,17540,anais@mairie17.com
ANDILLY,17230,andilly@mairie17.com
ANGLIERS,17540,angliers@mairie17.com
ANGOULINS-SUR-MER,17690,dg.mairie@angoulins.fr
ANNEPONT,17350,annepont@mairie17.com
ANNEZAY,17380,commune.annezay@wanadoo.fr
ANTEZANT-LA-CHAPELLE,17400,antezant.la.chapelle@mairie17.com
ARCES-SUR-GIRONDE,17120,arces.sur.gironde@mairie17.com
ARCHIAC,17520,secretariat@archiac.fr
ARCHINGEAY,17380,archingeay@mairie17.com
ARDILLIERES,17290,ardillieres@mairie17.com
ARS-EN-RE,17590,arsenre@mairie17.com
ARTHENAC,17520,arthenac@mairie17.com
ARVERT,17530,mairie@ville-arvert.fr
ASNIERES-LA-GIRAUD,17400,asniereslagiraud@mairie17.com
AUJAC,17770,mairie.aujac@wanadoo.fr
AULNAY-DE-SAINTONGE,17470,aulnay.de.saintonge@mairie17.com
AUMAGNE,17770,aumagne@mairie17.com
AUTHON-EBEON,17770,authon-ebeon@mairie17.com
AVY,17800,avy@mairie17.com
AYTRE,17440,information@aytre.fr
BAGNIZEAU,17160,mairie-de-bagnizeau@wanadoo.fr
BALANZAC,17600,balanzac@mairie17.com
BALLANS,17160,ballans@mairie17.com
BALLON,17290,ballon@mairie17.com
BARZAN,17120,barzan@mairie17.com
BAZAUGES,17490,bazauges@wanadoo.fr
BEAUGEAY,17620,mairie.beaugeay@wanadoo.fr
BEAUVAIS-SUR-MATHA,17490,beauvais-sur-matha@mairie17.com
BEDENAC,17210,bedenac@mairie17.com
BELLUIRE,17800,mairie.belluire@wanadoo.fr
BENON,17170,mairie-benon@smic17.fr
BERCLOUX,17770,bercloux@mairie17.com
BERNAY-SAINT-MARTIN,17330,mairie-bernay-st-martin@smic17.fr
BERNEUIL,17460,berneuil@mairie17.com
BEURLAY,17250,beurlay@mairie17.com
BIGNAY,17400,bignay@mairie17.com
BIRON,17800,biron@mairie17.com
BLANZAC-LES-MATHA,17160,blanzac-les-matha.mairie17@wanadoo.fr
BLANZAY-SUR-BOUTONNE,17470,blanzay-sur-boutonne@mairie17.com
BOIS,17240,mairie.bois@wanadoo.fr
BOISREDON,17150,boisredon@mairie17.com
BORDS,17430,bords@mairie17.com
BORESSE-ET-MARTRON,17270,boresse.et.martron@mairie17.com
BOSCAMNANT,17360,boscamnant@mairie17.com
BOUGNEAU,17800,bougneau@mairie17.com
BOUHET,17540,mairie.bouhet@wanadoo.fr
BOURCEFRANC-LE-CHAPUS,17560,bourcefranc-le-chapus@mairie17.com
BOURGNEUF,17220,mairie.bourgneuf@wanadoo.fr
BOUTENAC-TOUVENT,17120,boutenac-touvent@orange.fr
BRAN,17210,""
BRESDON,17490,""
BREUIL-LA-REORTE,17700,breuil-la-reorte@mairie17.com
